model_id,story_id,condition_id,persona_id,temperature,temperature_label,emotion,membership_family,membership_hmax,n_attempts,n_valid_entropy,n_missing_entropy,n_valid_H_raw,mean_H_raw,median_H_raw,sd_H_raw,min_H_raw,max_H_raw,n_valid_H_norm,mean_H_norm,median_H_norm,sd_H_norm,min_H_norm,max_H_norm
anthropic/claude-sonnet-4.5,T1,C09,p3,0.1,t01,anger,sigmoid_s_v1,1.018502773018,3,3,0,3,0.769302148,0.769302148,0.0,0.769302148,0.769302148,3,0.755326513,0.755326513,0.0,0.755326513,0.755326513
anthropic/claude-sonnet-4.5,T1,C09,p3,0.1,t01,interest,legacy_linear_v1,1.057697511124,3,3,0,3,0.521146811,0.521146811,0.0,0.521146811,0.521146811,3,0.492718198,0.492718198,0.0,0.492718198,0.492718198
anthropic/claude-sonnet-4.5,T1,C09,p3,0.1,t01,interest,sigmoid_s_v1,1.018502773018,3,3,0,3,0.530069958,0.530069958,0.0,0.530069958,0.530069958,3,0.520440368,0.520440368,0.0,0.520440368,0.520440368
anthropic/claude-sonnet-4.5,T1,C09,p3,0.1,t01,sadness,legacy_linear_v1,1.057697511124,3,3,0,3,0.494736805,0.742105208,0.34983175,0.0,0.742105208,3,0.46774886,0.70162329,0.330748391,0.0,0.70162329
anthropic/claude-sonnet-4.5,T1,C09,p3,0.1,t01,sadness,sigmoid_s_v1,1.018502773018,3,3,0,3,0.151422532,0.227133797,0.107071899,0.0,0.227133797,3,0.148671693,0.22300754,0.105126762,0.0,0.22300754
anthropic/claude-sonnet-4.5,T1,C09,p3,0.1,t01,surprise,legacy_linear_v1,1.057697511124,3,3,0,3,0.862808037,0.862808037,0.0,0.862808037,0.862808037,3,0.815741768,0.815741768,0.0,0.815741768,0.815741768
anthropic/claude-sonnet-4.5,T1,C09,p3,0.1,t01,surprise,sigmoid_s_v1,1.018502773018,3,3,0,3,0.511089574,0.511089574,0.0,0.511089574,0.511089574,3,0.501804794,0.501804794,0.0,0.501804794,0.501804794
anthropic/claude-sonnet-4.5,T1,C10,p3,0.4,t04,anger,legacy_linear_v1,1.057697511124,3,3,0,3,0.776045528,1.0,0.316719452,0.328136583,1.0,3,0.733712162,0.945449894,0.299442372,0.310236698,0.945449894
anthropic/claude-sonnet-4.5,T1,C10,p3,0.4,t04,anger,sigmoid_s_v1,1.018502773018,3,3,0,3,0.551531376,0.769302148,0.307974379,0.115989832,0.769302148,3,0.541511904,0.755326513,0.30237952,0.113882686,0.755326513
anthropic/claude-sonnet-4.5,T1,C10,p3,0.4,t04,interest,legacy_linear_v1,1.057697511124,3,3,0,3,0.521146811,0.521146811,0.0,0.521146811,0.521146811,3,0.492718198,0.492718198,0.0,0.492718198,0.492718198
anthropic/claude-sonnet-4.5,T1,C10,p3,0.4,t04,interest,sigmoid_s_v1,1.018502773018,3,3,0,3,0.530069958,0.530069958,0.0,0.530069958,0.530069958,3,0.520440368,0.520440368,0.0,0.520440368,0.520440368
anthropic/claude-sonnet-4.5,T1,C10,p3,0.4,t04,sadness,legacy_linear_v1,1.057697511124,3,3,0,3,0.494736805,0.742105208,0.34983175,0.0,0.742105208,3,0.46774886,0.70162329,0.330748391,0.0,0.70162329
