metric,model_id,story_id,emotion,is_estimable,missing_cells,SS_persona,SS_temperature,SS_persona_x_temperature,interaction_burden,separability_share,total_SS
H_norm_sigmoid_s_v1,meta-llama/llama-4-maverick,T3,interest,True,0,0.112807,0.001479,0.004438,0.037377,0.962623,0.118724
H_norm_sigmoid_s_v1,meta-llama/llama-4-maverick,T3,sadness,True,0,0.169822,0.015765,0.044346,0.192863,0.807137,0.229933
H_norm_sigmoid_s_v1,meta-llama/llama-4-maverick,T3,surprise,True,0,1.048201,0.000577,0.023784,0.022175,0.977825,1.072562
H_norm_sigmoid_s_v1,openai/gpt-5.4,T1,anger,True,0,0.054131,0.007624,0.030246,0.328759,0.671241,0.092001
H_norm_sigmoid_s_v1,openai/gpt-5.4,T1,interest,True,0,0.262777,0.000353,0.005828,0.021669,0.978331,0.268958
H_norm_sigmoid_s_v1,openai/gpt-5.4,T1,sadness,True,0,0.37099,0.003169,0.005891,0.015501,0.984499,0.38005
H_norm_sigmoid_s_v1,openai/gpt-5.4,T1,surprise,True,0,0.654156,0.010137,0.038952,0.055388,0.944612,0.703245
H_norm_sigmoid_s_v1,openai/gpt-5.4,T2,anger,True,0,1.457068,0.05233,0.056673,0.036188,0.963812,1.566071
H_norm_sigmoid_s_v1,openai/gpt-5.4,T2,interest,True,0,0.309537,0.000428,0.00308,0.009838,0.990162,0.313045
H_norm_sigmoid_s_v1,openai/gpt-5.4,T2,sadness,True,0,2.255787,0.027497,0.060574,0.025844,0.974156,2.343858
H_norm_sigmoid_s_v1,openai/gpt-5.4,T2,surprise,True,0,0.020006,3.2e-05,0.0011,0.052032,0.947968,0.021138
H_norm_sigmoid_s_v1,openai/gpt-5.4,T3,anger,True,0,0.222111,0.060465,0.041357,0.127672,0.872328,0.323933
H_norm_sigmoid_s_v1,openai/gpt-5.4,T3,interest,True,0,0.391179,0.005013,0.004912,0.012246,0.987754,0.401104
H_norm_sigmoid_s_v1,openai/gpt-5.4,T3,sadness,True,0,0.676146,0.00794,0.017369,0.024761,0.975239,0.701455
H_norm_sigmoid_s_v1,openai/gpt-5.4,T3,surprise,True,0,0.004315,0.003808,0.004453,0.354107,0.645893,0.012576
H_norm_sigmoid_s_v1,x-ai/grok-4.20,T1,anger,True,0,1.722915,0.000165,0.000494,0.000287,0.999713,1.723574
H_norm_sigmoid_s_v1,x-ai/grok-4.20,T1,interest,True,0,0.17371,0.007869,0.017061,0.085887,0.914113,0.19864
H_norm_sigmoid_s_v1,x-ai/grok-4.20,T1,sadness,True,0,1.284653,0.012925,0.038774,0.029015,0.970985,1.336352
H_norm_sigmoid_s_v1,x-ai/grok-4.20,T1,surprise,True,0,0.24738,0.018979,0.207502,0.437897,0.562103,0.473861
H_norm_sigmoid_s_v1,x-ai/grok-4.20,T2,anger,True,0,0.37325,0.023192,0.072561,0.154712,0.845288,0.469003
H_norm_sigmoid_s_v1,x-ai/grok-4.20,T2,interest,True,0,0.98477,0.002093,0.00545,0.005492,0.994508,0.992313
H_norm_sigmoid_s_v1,x-ai/grok-4.20,T2,sadness,True,0,1.884721,0.001992,0.035272,0.018352,0.981648,1.921985
H_norm_sigmoid_s_v1,x-ai/grok-4.20,T2,surprise,True,0,0.528739,0.000205,0.026339,0.047433,0.952567,0.555283
H_norm_sigmoid_s_v1,x-ai/grok-4.20,T3,anger,True,0,0.19947,0.016241,0.09768,0.311687,0.688313,0.313391
H_norm_sigmoid_s_v1,x-ai/grok-4.20,T3,interest,True,0,0.061204,0.040656,0.142675,0.583454,0.416546,0.244535
H_norm_sigmoid_s_v1,x-ai/grok-4.20,T3,sadness,True,0,0.196297,0.012376,0.126713,0.377812,0.622188,0.335386
H_norm_sigmoid_s_v1,x-ai/grok-4.20,T3,surprise,True,0,0.633773,0.021811,0.097628,0.129616,0.870384,0.753212
