model_id,story_id,condition_id,persona_id,temperature,temperature_label,emotion,membership_family,membership_hmax,n_attempts,n_valid_entropy,n_missing_entropy,n_valid_H_raw,mean_H_raw,median_H_raw,sd_H_raw,min_H_raw,max_H_raw,n_valid_H_norm,mean_H_norm,median_H_norm,sd_H_norm,min_H_norm,max_H_norm
x-ai/grok-4.20,T1,C08,p2,0.9,t09,surprise,legacy_linear_v1,1.057697511124,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C08,p2,0.9,t09,surprise,sigmoid_s_v1,1.018502773018,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C09,p3,0.1,t01,anger,legacy_linear_v1,1.057697511124,5,5,0,5,1.0,1.0,0.0,1.0,1.0,5,0.945449894,0.945449894,0.0,0.945449894,0.945449894
x-ai/grok-4.20,T1,C09,p3,0.1,t01,anger,sigmoid_s_v1,1.018502773018,5,5,0,5,0.769302148,0.769302148,0.0,0.769302148,0.769302148,5,0.755326513,0.755326513,0.0,0.755326513,0.755326513
x-ai/grok-4.20,T1,C09,p3,0.1,t01,interest,legacy_linear_v1,1.057697511124,5,5,0,5,1.021089678,1.021089678,0.0,1.021089678,1.021089678,5,0.965389128,0.965389128,0.0,0.965389128,0.965389128
x-ai/grok-4.20,T1,C09,p3,0.1,t01,interest,sigmoid_s_v1,1.018502773018,5,5,0,5,0.631293721,0.631293721,0.0,0.631293721,0.631293721,5,0.619825235,0.619825235,0.0,0.619825235,0.619825235
x-ai/grok-4.20,T1,C09,p3,0.1,t01,sadness,legacy_linear_v1,1.057697511124,5,5,0,5,1.028320834,1.028320834,0.0,1.028320834,1.028320834,5,0.972225823,0.972225823,0.0,0.972225823,0.972225823
x-ai/grok-4.20,T1,C09,p3,0.1,t01,sadness,sigmoid_s_v1,1.018502773018,5,5,0,5,0.920272477,0.920272477,0.0,0.920272477,0.920272477,5,0.903554218,0.903554218,0.0,0.903554218,0.903554218
x-ai/grok-4.20,T1,C09,p3,0.1,t01,surprise,legacy_linear_v1,1.057697511124,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C09,p3,0.1,t01,surprise,sigmoid_s_v1,1.018502773018,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C10,p3,0.4,t04,anger,legacy_linear_v1,1.057697511124,5,5,0,5,1.0,1.0,0.0,1.0,1.0,5,0.945449894,0.945449894,0.0,0.945449894,0.945449894
x-ai/grok-4.20,T1,C10,p3,0.4,t04,anger,sigmoid_s_v1,1.018502773018,5,5,0,5,0.769302148,0.769302148,0.0,0.769302148,0.769302148,5,0.755326513,0.755326513,0.0,0.755326513,0.755326513
x-ai/grok-4.20,T1,C10,p3,0.4,t04,interest,legacy_linear_v1,1.057697511124,5,5,0,5,1.021089678,1.021089678,0.0,1.021089678,1.021089678,5,0.965389128,0.965389128,0.0,0.965389128,0.965389128
x-ai/grok-4.20,T1,C10,p3,0.4,t04,interest,sigmoid_s_v1,1.018502773018,5,5,0,5,0.631293721,0.631293721,0.0,0.631293721,0.631293721,5,0.619825235,0.619825235,0.0,0.619825235,0.619825235
x-ai/grok-4.20,T1,C10,p3,0.4,t04,sadness,legacy_linear_v1,1.057697511124,5,5,0,5,0.971077708,1.028320834,0.11448625,0.742105208,1.028320834,5,0.918105317,0.972225823,0.108241013,0.70162329,0.972225823
x-ai/grok-4.20,T1,C10,p3,0.4,t04,sadness,sigmoid_s_v1,1.018502773018,5,5,0,5,0.781644741,0.920272477,0.277255472,0.227133797,0.920272477,5,0.767444882,0.903554218,0.272218671,0.22300754,0.903554218
x-ai/grok-4.20,T1,C10,p3,0.4,t04,surprise,legacy_linear_v1,1.057697511124,5,5,0,5,0.128694187,0.0,0.257388374,0.0,0.643470934,5,0.121673905,0.0,0.243347811,0.0,0.608369526
x-ai/grok-4.20,T1,C10,p3,0.4,t04,surprise,sigmoid_s_v1,1.018502773018,5,5,0,5,0.029491325,0.0,0.05898265,0.0,0.147456626,5,0.028955567,0.0,0.057911134,0.0,0.144777834
x-ai/grok-4.20,T1,C11,p3,0.7,t07,anger,legacy_linear_v1,1.057697511124,5,5,0,5,1.0,1.0,0.0,1.0,1.0,5,0.945449894,0.945449894,0.0,0.945449894,0.945449894
x-ai/grok-4.20,T1,C11,p3,0.7,t07,anger,sigmoid_s_v1,1.018502773018,5,5,0,5,0.769302148,0.769302148,0.0,0.769302148,0.769302148,5,0.755326513,0.755326513,0.0,0.755326513,0.755326513
x-ai/grok-4.20,T1,C11,p3,0.7,t07,interest,legacy_linear_v1,1.057697511124,5,5,0,5,1.021089678,1.021089678,0.0,1.021089678,1.021089678,5,0.965389128,0.965389128,0.0,0.965389128,0.965389128
x-ai/grok-4.20,T1,C11,p3,0.7,t07,interest,sigmoid_s_v1,1.018502773018,5,5,0,5,0.631293721,0.631293721,0.0,0.631293721,0.631293721,5,0.619825235,0.619825235,0.0,0.619825235,0.619825235
x-ai/grok-4.20,T1,C11,p3,0.7,t07,sadness,legacy_linear_v1,1.057697511124,5,5,0,5,0.913834583,1.028320834,0.140216448,0.742105208,1.028320834,5,0.86398481,0.972225823,0.132567626,0.70162329,0.972225823
x-ai/grok-4.20,T1,C11,p3,0.7,t07,sadness,sigmoid_s_v1,1.018502773018,5,5,0,5,0.643017005,0.920272477,0.339567217,0.227133797,0.920272477,5,0.631335547,0.903554218,0.333398422,0.22300754,0.903554218
x-ai/grok-4.20,T1,C11,p3,0.7,t07,surprise,legacy_linear_v1,1.057697511124,5,5,0,5,0.128694187,0.0,0.257388374,0.0,0.643470934,5,0.121673905,0.0,0.243347811,0.0,0.608369526
x-ai/grok-4.20,T1,C11,p3,0.7,t07,surprise,sigmoid_s_v1,1.018502773018,5,5,0,5,0.029491325,0.0,0.05898265,0.0,0.147456626,5,0.028955567,0.0,0.057911134,0.0,0.144777834
x-ai/grok-4.20,T1,C12,p3,0.9,t09,anger,legacy_linear_v1,1.057697511124,5,5,0,5,1.0,1.0,0.0,1.0,1.0,5,0.945449894,0.945449894,0.0,0.945449894,0.945449894
