run_id,stage,design_id,manifest_row,model_id,provider,language,story_id,target_mode,repetition,ok,profile_entropy
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,79,anthropic/claude-haiku-4.5,openrouter,en,T1,character_side,10,True,0.947379716
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,80,anthropic/claude-haiku-4.5,openrouter,en,T2,reader_side,1,True,0.874712275
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,81,anthropic/claude-haiku-4.5,openrouter,en,T2,reader_side,2,True,0.928272084
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,82,anthropic/claude-haiku-4.5,openrouter,en,T2,reader_side,3,True,0.874712275
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,83,anthropic/claude-haiku-4.5,openrouter,en,T2,reader_side,4,True,0.928272084
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,84,anthropic/claude-haiku-4.5,openrouter,en,T2,reader_side,5,True,0.928272084
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,85,anthropic/claude-haiku-4.5,openrouter,en,T2,reader_side,6,True,0.845819077
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,86,anthropic/claude-haiku-4.5,openrouter,en,T2,reader_side,7,True,0.928272084
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,87,anthropic/claude-haiku-4.5,openrouter,en,T2,reader_side,8,True,0.874712275
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,88,anthropic/claude-haiku-4.5,openrouter,en,T2,reader_side,9,True,0.928272084
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,89,anthropic/claude-haiku-4.5,openrouter,en,T2,reader_side,10,True,0.874712275
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,90,anthropic/claude-haiku-4.5,openrouter,en,T2,character_side,1,True,0.971792826
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,91,anthropic/claude-haiku-4.5,openrouter,en,T2,character_side,2,True,0.971792826
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,92,anthropic/claude-haiku-4.5,openrouter,en,T2,character_side,3,True,0.970121
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,93,anthropic/claude-haiku-4.5,openrouter,en,T2,character_side,4,True,0.970121
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,94,anthropic/claude-haiku-4.5,openrouter,en,T2,character_side,5,True,0.971081609
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,95,anthropic/claude-haiku-4.5,openrouter,en,T2,character_side,6,True,0.970121
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,96,anthropic/claude-haiku-4.5,openrouter,en,T2,character_side,7,True,0.971792826
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,97,anthropic/claude-haiku-4.5,openrouter,en,T2,character_side,8,True,0.971081609
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,98,anthropic/claude-haiku-4.5,openrouter,en,T2,character_side,9,True,0.971792826
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,99,anthropic/claude-haiku-4.5,openrouter,en,T2,character_side,10,True,0.970121
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,100,anthropic/claude-haiku-4.5,openrouter,en,T3,reader_side,1,True,0.998200241
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,101,anthropic/claude-haiku-4.5,openrouter,en,T3,reader_side,2,True,0.998200241
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,102,anthropic/claude-haiku-4.5,openrouter,en,T3,reader_side,3,True,0.998200241
